City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Sorong,ID,80.29,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
6,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
10,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
11,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
13,Vao,NC,79.95,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
14,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
17,Canete,CL,74.66,clear sky,-37.8,-73.4,Alojamiento El Alero Criollo
21,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
25,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
30,Kalemie,CD,70.43,light rain,-5.9475,29.1947,Mahobilali
31,Guarapari,BR,85.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
35,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
42,Kalmunai,LK,75.9,overcast clouds,7.4167,81.8167,VS Villa
43,Ormara,PK,71.65,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
46,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
48,Eyl,SO,75.09,overcast clouds,7.9803,49.8164,Amiin Hotel
50,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
51,Port Elizabeth,ZA,79.11,light rain,-33.918,25.5701,39 On Nile Guest House
52,Presidencia Roque Saenz Pena,AR,87.03,clear sky,-26.7852,-60.4388,Hotel Gualok
53,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
54,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
58,Kloulklubed,PW,80.82,light rain,7.0419,134.2556,Storyboard Beach Resort
62,Castro,BR,77.86,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
64,Howard Springs,AU,78.71,overcast clouds,-12.497,131.047,buffalo beach hostel
68,Loanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
69,Hilo,US,70.25,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
71,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
72,Port Maria,JM,85.96,few clouds,18.3685,-76.8895,Galina Breeze Hotel
80,Bredasdorp,ZA,70.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
84,Basco,PH,72.97,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
88,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
89,Puro,PH,76.33,broken clouds,12.4841,123.3827,
90,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Kapaa,US,74.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
94,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
96,Durban,ZA,74.01,moderate rain,-29.8579,31.0292,Hilton Durban
99,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
102,Dingle,PH,73.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Victor Harbor,AU,77.72,clear sky,-35.5667,138.6167,McCracken Country Club
115,Rio Gallegos,AR,77.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
118,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
119,East London,ZA,72.54,few clouds,-33.0153,27.9116,Tu Casa
120,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Santa Vitoria,BR,82.35,overcast clouds,-18.8386,-50.1214,Center Hotel
130,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
131,Port Blair,IN,78.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
135,Beloha,MG,74.12,moderate rain,-25.1667,45.05,
136,Palu,ID,75.33,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
140,Bousso,TD,79.9,broken clouds,10.4795,16.7117,
144,Taltal,CL,71.62,few clouds,-25.4,-70.4833,Residencial Karime
146,Tigre,AR,72.19,broken clouds,-34.426,-58.5796,Puerto Delta Apartamentos
147,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
151,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
153,Atambua,ID,74.55,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
154,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
156,Maragogi,BR,82.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
157,Manggar,ID,78.93,light rain,-2.8833,108.2667,Guest Hotel
161,Altamira,BR,87.89,moderate rain,-3.2033,-52.2064,Requinte Hotel
162,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
166,Keti Bandar,PK,70.38,clear sky,24.1447,67.4497,Haji laloo memon house
169,Ambilobe,MG,75.56,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
170,Ugoofaaru,MV,81.19,broken clouds,5.6667,73.0,Ungoofaaru Inn
171,Marsabit,KE,75.33,broken clouds,2.3284,37.9899,Chicho Hotel
172,Santiago Del Estero,AR,84.47,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
173,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
174,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
178,Vryburg,ZA,73.78,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
182,Upata,VE,82.62,broken clouds,8.0086,-62.3989,Posada Villa Nela
183,Cabo San Lucas,MX,76.17,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
187,Gamba,GA,77.59,broken clouds,-2.65,10.0,
188,Sabla,NG,77.85,clear sky,12.7525,4.7077,
193,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
196,Quirinopolis,BR,83.17,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
197,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
200,Kudahuvadhoo,MV,81.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
203,Tessalit,ML,70.7,clear sky,20.1986,1.0114,
207,Maungatapere,NZ,72.09,overcast clouds,-35.75,174.2,Les & Pauline Kell
208,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
210,Paita,PE,84.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
211,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
217,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
220,Jalpan,MX,77.04,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
221,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
222,Maracacume,BR,79.11,overcast clouds,-2.0428,-45.9592,Hotel Ramos
224,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
225,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
226,Mogadishu,SO,77.38,scattered clouds,2.0371,45.3438,Hotel Juba
230,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
231,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
233,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
234,Constitucion,CL,71.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
239,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
240,Nha Trang,VN,73.4,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
241,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
247,Imbituba,BR,82.29,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
248,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
255,Le Port,RE,78.8,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
256,Xai-Xai,MZ,76.84,light rain,-25.0519,33.6442,Complexo da Familia
258,Amambai,BR,86.88,broken clouds,-23.1042,-55.2258,Keren Hotel
259,Les Cayes,HT,82.71,clear sky,18.2,-73.75,Villa Orphee
262,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
267,Mbanza-Ngungu,CD,70.02,broken clouds,-5.25,14.8667,Hotel Full Business
272,Banda Aceh,ID,76.35,overcast clouds,5.5577,95.3222,Sulthan Hotel International
