City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,60.46,59,75,17.27,broken clouds
1,Hofn,IS,64.2539,-15.2082,27.0,67,0,16.11,clear sky
2,Thompson,CA,55.7435,-97.8558,-11.04,64,20,4.61,few clouds
3,Sorong,ID,-0.8833,131.25,80.29,81,100,11.25,overcast clouds
4,Mar Del Plata,AR,-38.0023,-57.5575,66.22,89,100,24.0,overcast clouds
5,Norilsk,RU,69.3535,88.2027,-26.07,100,44,1.54,scattered clouds
6,Vanimo,PG,-2.6741,141.3028,77.63,87,100,5.12,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
8,Komsomolskiy,UZ,40.4272,71.7189,39.92,87,75,4.61,broken clouds
9,Luderitz,NA,-26.6481,15.1594,68.31,75,11,4.7,few clouds
10,Olinda,BR,-8.0089,-34.8553,85.73,54,40,9.22,scattered clouds
11,Antofagasta,CL,-23.65,-70.4,73.22,60,0,7.85,clear sky
12,Lydenburg,ZA,-25.0978,30.4597,59.27,89,65,6.62,broken clouds
13,Vao,NC,-22.6667,167.4833,79.95,84,84,1.05,broken clouds
14,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
15,Erzurum,TR,40.0,41.5,22.68,96,94,5.46,overcast clouds
16,Torbay,CA,47.6666,-52.7314,16.57,80,100,17.27,light snow
17,Canete,CL,-37.8,-73.4,74.66,44,0,8.39,clear sky
18,Hermanus,ZA,-34.4187,19.2345,67.89,89,9,8.19,clear sky
19,Pirmasens,DE,49.2015,7.6053,43.32,91,100,24.85,light rain
20,Naryan-Mar,RU,67.6713,53.087,9.5,88,100,15.66,overcast clouds
21,Hithadhoo,MV,-0.6,73.0833,82.47,73,32,12.55,scattered clouds
22,Morgan City,US,29.6994,-91.2068,55.99,43,0,6.91,clear sky
23,Dvorichna,UA,49.8496,37.6857,30.56,95,100,9.31,light snow
24,Aykhal,RU,66.0,111.5,-19.59,99,100,5.06,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
26,Albany,US,42.6001,-73.9662,27.82,49,13,1.99,few clouds
27,Mataura,NZ,-46.1927,168.8643,42.48,90,10,0.92,clear sky
28,Khovu-Aksy,RU,51.1333,93.6,-13.58,81,10,6.51,clear sky
29,Kamenka,RU,51.3223,42.7678,24.75,98,93,5.23,overcast clouds
30,Kalemie,CD,-5.9475,29.1947,70.43,89,100,5.57,light rain
31,Guarapari,BR,-20.6667,-40.4975,85.89,69,4,20.22,clear sky
32,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
33,Bluff,NZ,-46.6,168.3333,41.81,78,6,4.79,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,23.16,62,100,35.54,overcast clouds
35,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,69,20,16.11,few clouds
36,Dongying,CN,37.4564,118.4856,29.8,34,100,0.94,overcast clouds
37,Mehamn,NO,71.0357,27.8492,18.64,89,30,14.83,scattered clouds
38,Airai,TL,-8.9266,125.4092,60.82,89,92,1.16,overcast clouds
39,Pandaria,IN,22.2333,81.4167,56.1,31,3,3.67,clear sky
40,Cape Town,ZA,-33.9258,18.4232,69.1,76,20,5.75,few clouds
41,Ibb,YE,13.9667,44.1833,61.14,65,99,5.19,overcast clouds
42,Kalmunai,LK,7.4167,81.8167,75.9,81,100,7.29,overcast clouds
43,Ormara,PK,25.2088,64.6357,71.65,78,0,13.02,clear sky
44,Walvis Bay,NA,-22.9575,14.5053,74.35,68,100,4.61,overcast clouds
45,Upernavik,GL,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
46,Inhambane,MZ,-23.865,35.3833,78.78,89,40,13.8,scattered clouds
47,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
48,Eyl,SO,7.9803,49.8164,75.09,71,100,16.4,overcast clouds
49,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,70,40,18.99,scattered clouds
50,Atuona,PF,-9.8,-139.0333,78.78,72,0,19.04,clear sky
51,Port Elizabeth,ZA,-33.918,25.5701,79.11,88,20,17.27,light rain
52,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,87.03,26,0,9.19,clear sky
53,Biak,ID,-0.9131,122.8766,75.76,81,100,3.06,overcast clouds
